127.0.0.1 - - [13/Jan/2017:11:51:05 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Jan/2017:11:51:07 +0800] "GET /automvpage/ HTTP/1.1" 200 3733
0:0:0:0:0:0:0:1 - - [13/Jan/2017:11:51:07 +0800] "GET /automvpage/css/my.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2017:11:52:21 +0800] "GET /automvpage/ HTTP/1.1" 200 3754
0:0:0:0:0:0:0:1 - - [13/Jan/2017:11:52:21 +0800] "GET /automvpage/css/my.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2017:11:52:27 +0800] "GET /automvpage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2017:11:52:27 +0800] "GET /automvpage/css/my.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2017:11:54:01 +0800] "GET /automvpage/ HTTP/1.1" 200 3798
0:0:0:0:0:0:0:1 - - [13/Jan/2017:11:54:01 +0800] "GET /automvpage/css/my.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2017:12:08:58 +0800] "GET /automvpage/ HTTP/1.1" 200 3782
0:0:0:0:0:0:0:1 - - [13/Jan/2017:12:08:59 +0800] "GET /automvpage/css/my.css HTTP/1.1" 304 -
